"The recipe","Source file count","Source file changed count","Cumulative scanning time","99th percentile scanning time","Max scanning time","Cumulative edit time","99th percentile edit time","Max edit time"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.staticanalysis.AddSerialAnnotationToSerialVersionUID","366","278","0","0.0","0","2108729450","0.99","421008705"
"org.openrewrite.java.migrate.RemovedRMIConnectorServerCredentialTypesConstant","366","278","0","0.0","0","37160","0.99","731"
"org.openrewrite.java.migrate.jakarta.JavaxEnterpriseToJakartaEnterprise","366","278","0","0.0","0","38334","0.99","621"
"org.openrewrite.java.migrate.jakarta.JavaxEjbToJakartaEjb","366","278","0","0.0","0","35495","0.99","641"
"org.openrewrite.java.migrate.concurrent.JavaConcurrentAPIs","366","278","0","0.0","0","61394","0.99","821"
"org.openrewrite.java.migrate.javax.AddJaxbRuntime","366","278","11087060","0.99","4265585","152584358","0.99","55574220"
"org.openrewrite.maven.ChangeDependencyClassifier","1464","278","0","0.0","0","22179042","0.99","5715781"
"com.oracle.weblogic.rewrite.UpgradeTo1511","366","278","0","0.0","0","32524","0.99","3897"
"org.openrewrite.java.migrate.lang.ThreadStopUnsupported","366","278","0","0.0","0","76151608","0.99","15135065"
"org.openrewrite.java.migrate.jakarta.RemoveJakartaAnnotationDependency","366","278","0","0.0","0","38914","0.99","1153"
"com.oracle.weblogic.rewrite.UpdateBuildToWebLogic1511","366","278","0","0.0","0","24787","0.99","1162"
"org.openrewrite.gradle.UpdateJavaCompatibility","1098","278","0","0.0","0","523373","0.99","39365"
"org.openrewrite.java.migrate.javaee7.OpenJPAPersistenceProvider","366","278","0","0.0","0","50845","0.99","721"
"org.openrewrite.java.migrate.jakarta.JohnzonJavaxToJakarta","366","278","0","0.0","0","38922","0.99","571"
"org.openrewrite.java.migrate.RemovedFileIOFinalizeMethods","366","278","0","0.0","0","32571","0.99","492"
"org.openrewrite.java.migrate.javaee8.ApacheDefaultProvider","366","278","0","0.0","0","38313","0.99","661"
"org.openrewrite.java.migrate.lang.MigrateSecurityManagerMulticast","366","278","0","0.0","0","913995","0.99","505005"
"org.openrewrite.gradle.UpdateGradleWrapper","732","278","31272751","0.99","8958110","2708916","0.99","352677"
"org.openrewrite.yaml.CommentOutProperty","22692","278","0","0.0","0","1959045","0.99","334132"
"org.openrewrite.java.migrate.net.URLConstructorsToURIRecipes","366","278","0","0.0","0","82407","0.99","722"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime$AddJaxwsRuntimeMaven","366","278","0","0.0","0","160073956","0.99","82586132"
"com.oracle.weblogic.rewrite.jakarta.FacesManagedBeansRemoved3","366","278","0","0.0","0","86835","0.99","15831"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime$AddJaxwsRuntimeGradle","366","278","0","0.0","0","101414","0.99","1854"
"org.openrewrite.java.migrate.javax.MigrateTypeKindVisitor6To9","366","278","0","0.0","0","48958","0.99","1023"
"org.openrewrite.java.migrate.jakarta.JavaxValidationMigrationToJakartaValidation","366","278","0","0.0","0","38963","0.99","532"
"org.openrewrite.java.migrate.logging.MigrateLoggerLogrbToUseResourceBundle","366","278","0","0.0","0","548321","0.99","43712"
"org.openrewrite.java.migrate.jakarta.JavaxInjectMigrationToJakartaInject","366","278","0","0.0","0","40944","0.99","1052"
"org.openrewrite.java.migrate.jakarta.JavaxBatchMigrationToJakartaBatch","366","278","0","0.0","0","36603","0.99","701"
"com.oracle.weblogic.rewrite.jakarta.RemovedJakartaFaces3ResourceResolver","366","278","0","0.0","0","89693","0.99","17344"
"com.oracle.weblogic.rewrite.jakarta.JavaxApplicationXmlToJakarta9ApplicationXml","366","278","0","0.0","0","44031","0.99","19316"
"org.openrewrite.maven.RemoveRedundantDependencyVersions","1830","278","0","0.0","0","37965312","0.99","8261382"
"org.openrewrite.java.migrate.UpgradeBuildToJava17","366","278","0","0.0","0","81660","0.99","992"
"org.openrewrite.java.ReplaceConstantWithAnotherConstant","1098","278","0","0.0","0","17314623","0.99","6950399"
"org.openrewrite.java.migrate.jakarta.JavaxFacesToJakartaFaces","366","278","0","0.0","0","43340","0.99","761"
"org.openrewrite.java.migrate.UpgradeBuildToJava11","366","278","0","0.0","0","33527","0.99","1122"
